Left	Grapheme	Right	Class	Replacement	Frequency
	oh	$		o	11
	eh	\b		e	3
	éh	\b		e	0
	eh	$		e	0
	éh	$		e	0
	eh	[ ]		e	0
	éh	[ ]		e	0
^e	\-			'	3
	oe			u	43
	oé			u	0
	ou			oːu	1
	ie			ii	2
	ié			ii	0
	dj			j	6
	ae			aːe	0
	aé			aːe	1
	aw			aːu	1
	au			aːo	4
	ao			aːO	1
	ai			aːi	6
	\-			-	43
	\ 			 	7
	\(			(	1
	\)			)	1
	\;			;	3
	\?			?	1
	\[			[	11
	\]			]	11
	a			a	113
	à			a	2
	b			b	28
	d			d	14
	e			E	19
	é			e	5
	è			E	1
	f			f	21
	h			h	26
	i			i	47
	j			y	6
	k			k	75
	l			l	26
	m			m	17
	n			n	21
	o			O	70
	p			p	20
	r			r	13
	s			x	1
	t			t	5
	u			u	0
	w			w	8
	y			y	1
