Left	Grapheme	Right	Class	Replacement
	\-			-
	oeoe			u ' u
	nj			ñ
	tj			c
	dj			j
[aiueo]	ä			' a
[aiueo]\(	ä			' a
[aiueo]\)	ä			' a
[aiueo]	ö			' o
[aiueo]\(	ö			' o
[aiueo]\)	ö			' o
[^aiueo()]	ö			u̇
[^aiueo]\(	ö			u̇
[^aiueo]\)	ö			u̇
	ää			a ' a
	qä			' a
	\(q\)ä			( ' ) a
	ié			i
	iè			i
	oe			u
	oè			u
	öä			o ' a
	ïï			i ' i
	öö			o ' o
	ä\(ä\)			a ( ' a)
(ie)	h			x
(ai)	h			x
(?<!a)i	h			x
	 			 
	\(			(
	\)			)
	\/			/
	;			;
	\?			?
	\[			[
	\]			]
	a			a
	á			á
	à			a
	ā			ā
	ã			ã
	b			b
	d			d
	e			e
	è			E
	ĕ			ė
	ě			ė
	f			f
	g			g
	h			h
	i			i
	ĩ			ĩ
	j			y
	k			k
	l			l
	m			m
	n			n
	o			o
	õ			õ
	p			p
	q			'
	r			r
	t			t
	u			u
	w			w
