Left	Grapheme	Right	Class	Replacement	Frequency
	aoe			aːo	2
	ei			eːi	5
	oi			oːi	1
	oe			u	71
	oé			u	0
	iie			i	1
	ie			i	45
	ië			i'e	1
	aè			aːe	1
	aé			aːe	0
	ai			aːi	6
	dj			j	2
	tj			c	2
	th			c	1
	oh			o	7
	oö			o'o	1
	aä			a'a	1
	-			'	12
	 			 	63
	(			(	1
	)			)	1
	/			/	1
	;			;	4
	[			[	4
	]			]	4
	a			a	190
	à			a	2
	ä			ä	0
	ā			aa	6
	b			b	23
	c			k	1
	d			d	21
	e			e	58
	é			e	52
	è			E	6
	ë			ë	0
	ē			ee	1
	f			f	50
	h			h	38
	i			i	5
	j			y	20
	k			k	115
	l			l	28
	m			m	15
	n			n	25
	o			O	70
	ô			o	1
	ö			ö	0
	p			p	5
	r			r	11
	s			x	1
	t			t	16
	w			w	15
